date,facility,infant_deaths
October 2014,Sandema Hospital,1
October 2014,War Memorial Hospital,0
November 2014,Bawku Presby Hospital,0
November 2014,Zebilla Hospital,0
November 2014,"Regional Hospital, Bolgatanga",5
November 2014,Bongo Hospital,0
November 2014,Sandema Hospital,0
November 2014,War Memorial Hospital,0
December 2014,Bawku Presby Hospital,3
December 2014,Zebilla Hospital,1
December 2014,"Regional Hospital, Bolgatanga",2
December 2014,Bongo Hospital,0
December 2014,Sandema Hospital,0
December 2014,War Memorial Hospital,0
January 2015,Bawku Presby Hospital,2
January 2015,Zebilla Hospital,0
January 2015,"Regional Hospital, Bolgatanga",1
January 2015,Bongo Hospital,0
January 2015,Sandema Hospital,0
January 2015,War Memorial Hospital,2
February 2015,Bawku Presby Hospital,2
February 2015,Zebilla Hospital,3
February 2015,"Regional Hospital, Bolgatanga",3
February 2015,Bongo Hospital,1
February 2015,Sandema Hospital,0
February 2015,War Memorial Hospital,0
March 2015,Bawku Presby Hospital,0
March 2015,Zebilla Hospital,1
March 2015,"Regional Hospital, Bolgatanga",2
March 2015,Bongo Hospital,1
March 2015,Sandema Hospital,1
March 2015,War Memorial Hospital,2
April 2015,Bawku Presby Hospital,1
April 2015,Zebilla Hospital,2
April 2015,"Regional Hospital, Bolgatanga",3
April 2015,Bongo Hospital,1
April 2015,Sandema Hospital,1
April 2015,War Memorial Hospital,1
May 2015,Bawku Presby Hospital,3
May 2015,Zebilla Hospital,0
May 2015,"Regional Hospital, Bolgatanga",2
May 2015,Bongo Hospital,0
May 2015,Sandema Hospital,0
May 2015,War Memorial Hospital,1
